,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0
0,SR Tendulkar (INDIA),1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20
1,KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
2,RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
3,ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.20,28,68,34
4,DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
5,V Kohli (INDIA),2008-2022,260,251,39,12311,183,58.07,13249,92.92,43,64,15
6,Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20
7,JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
8,SC Ganguly (Asia/INDIA),1992-2007,311,300,23,11363,183,41.02,15416,73.70,22,72,16
9,R Dravid (Asia/ICC/INDIA),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13
10,MS Dhoni (Asia/INDIA),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10
11,CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25
12,BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
13,TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11
14,Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.10,15,64,15
15,AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
16,AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.50,9473,101.09,25,53,7
17,M Azharuddin (INDIA),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9
18,PA de Silva (SL),1984-2003,308,296,30,9284,145,34.90,11443,81.13,11,64,17
19,RG Sharma (INDIA),2007-2022,230,223,32,9283,264,48.60,10428,89.01,29,44,13
20,Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15
21,S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.60,12408,70.74,11,59,6
22,Yuvraj Singh (Asia/INDIA),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18
23,DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13
24,LRPL Taylor (NZ),2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9
25,MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13
26,ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.90,18,50,16
27,V Sehwag (Asia/ICC/INDIA),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
28,HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4
29,HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22
30,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,369,27,8064,124,23.57,6892,117.00,6,39,30
31,SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.40,11242,71.49,8,49,17
32,MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10
33,Tamim Iqbal (BAN),2007-2022,225,223,10,7826,158,36.74,9963,78.55,14,52,19
34,EJG Morgan (ENG/IRE),2006-2021,246,228,34,7701,148,39.69,8439,91.25,14,47,16
35,SR Waugh (AUS),1986-2002,325,288,58,7569,120*,32.90,9971,75.91,3,45,15
36,Shoaib Malik (PAK),1999-2019,287,258,40,7534,143,34.55,9199,81.90,9,44,15
37,A Ranatunga (SL),1982-1999,269,255,47,7456,131*,35.84,9571,77.90,4,49,18
38,Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.70,11014,67.01,8,50,8
39,Younis Khan (PAK),2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22
40,Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19
41,NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19
42,MJ Guptill (NZ),2009-2022,189,186,19,7041,237*,42.16,8036,87.61,17,37,15
43,GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
44,WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17
45,MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5
46,G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11
47,A Flower (ZIM),1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
48,Shakib Al Hasan (BAN),2006-2022,221,209,30,6755,134*,37.73,8212,82.25,9,50,12
49,IVA Richards (WI),1975-1991,187,167,24,6721,189*,47.00,7451,90.20,11,45,7
50,Mushfiqur Rahim (BAN),2006-2022,233,218,36,6697,144,36.79,8481,78.96,8,41,10
51,BRM Taylor (ZIM),2004-2021,205,203,15,6684,145*,35.55,8721,76.64,11,39,15
52,Mohammad Hafeez (PAK),2003-2019,218,216,15,6614,140*,32.90,8633,76.61,11,38,19
53,GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18
54,Ijaz Ahmed (PAK),1986-2000,250,232,29,6564,139*,32.33,8174,80.30,10,37,14
